Iteration,Distribution,Algorithm,Length,Actual_Length,Count,Changepoints_abs,Changepoints_rel,Estimates,Error,time_used
101,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1237100849
102,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22434|40076,9.960137511458015|35.19354840394408,69175623772
102,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25002|41986,0.49839874413009966|9.909340449285082,63445499213
102,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22414.0|40076.0,9.960137511458015|25.193548403944078,1118851930
102,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1256500792
103,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22357|40074,11.960137511458015|14.266589107513937,69066462789
103,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25011|41996,10.320282154440065|10.409340449285082,63389278908
103,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22357.0|40074.0,11.960137511458015|14.266589107513937,1148939601
103,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1334637747
104,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22374|40083,0.42695929643014097|1.693548403944078,68740315160
104,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25020|41988,1.320282154440065|1.9093404492850823,76240312611
104,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22374.0|40083.0,0.42695929643014097|1.693548403944078,1142555720
104,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1301976819
105,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22374|40085,0.42695929643014097|0.693548403944078,68214909857
105,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25028|41999,6.679717845559935|10.089058294845017,63684491770
